
Symbol table '.dynsym' contains 2394 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
    62: 00030070    64 FUNC    WEAK   DEFAULT   12 srand48_r@@GLIBC_2.0
    63: 0002d210   103 FUNC    GLOBAL DEFAULT   12 sighold@@GLIBC_2.1
    64: 000cf240    64 FUNC    GLOBAL DEFAULT   12 __sched_getparam@@GLIBC_2.0
    65: 000756a0    27 FUNC    GLOBAL DEFAULT   12 __default_morecore@@GLIBC_2.0
    66: 00100860    31 FUNC    GLOBAL DEFAULT   12 iruserok@@GLIBC_2.0
    67: 0003f680   148 FUNC    GLOBAL DEFAULT   12 cuserid@@GLIBC_2.0
    68: 0002b3c0    36 FUNC    WEAK   DEFAULT   12 isnan@@GLIBC_2.0
    69: 0002f840   243 FUNC    WEAK   DEFAULT   12 setstate_r@@GLIBC_2.0
    70: 00094190    96 FUNC    WEAK   DEFAULT   12 wmemset@@GLIBC_2.0
    71: 00000000     0 OBJECT  GLOBAL DEFAULT  ABS GCC_3.0
    72: 0006b9f0    25 FUNC    GLOBAL DEFAULT   12 _IO_file_stat@@GLIBC_2.0
    73: 00121be0    42 FUNC    GLOBAL DEFAULT   12 __register_frame_info_bas@@GCC_3.0
    74: 0007bed0   783 FUNC    WEAK   DEFAULT   12 argz_replace@@GLIBC_2.0
    75: 000b9690    92 FUNC    GLOBAL DEFAULT   12 globfree64@@GLIBC_2.1
    76: 000f66b0    42 FUNC    WEAK   DEFAULT   12 argp_usage@@GLIBC_2.1
    77: 000eb190    64 FUNC    GLOBAL DEFAULT   12 timerfd_gettime@@GLIBC_2.8
    78: 001683bc     4 OBJECT  GLOBAL DEFAULT   15 _sys_nerr@@GLIBC_2.12
    79: 001683cc     4 OBJECT  GLOBAL DEFAULT   15 _sys_nerr@GLIBC_2.4
    80: 001683c4     4 OBJECT  GLOBAL DEFAULT   15 _sys_nerr@GLIBC_2.1
    81: 001683c0     4 OBJECT  GLOBAL DEFAULT   15 _sys_nerr@GLIBC_2.0
    82: 001683c8     4 OBJECT  GLOBAL DEFAULT   15 _sys_nerr@GLIBC_2.3
    83: 000ea7e0    64 FUNC    GLOBAL DEFAULT   12 clock_adjtime@@GLIBC_2.14
    84: 001babf4     4 OBJECT  GLOBAL DEFAULT   33 getdate_err@@GLIBC_2.1
    85: 0007baf0    85 FUNC    WEAK   DEFAULT   12 argz_next@@GLIBC_2.0
    86: 00127850    65 FUNC    GLOBAL DEFAULT   12 getspnam_r@GLIBC_2.0
    87: 000b3420   785 FUNC    GLOBAL DEFAULT   12 __fork@@GLIBC_2.0
    88: 000ef860   430 FUNC    GLOBAL DEFAULT   12 getspnam_r@@GLIBC_2.1.2
    89: 000cf310    52 FUNC    GLOBAL DEFAULT   12 __sched_yield@@GLIBC_2.0
    90: 000a3cf0    35 FUNC    GLOBAL DEFAULT   12 __gmtime_r@@GLIBC_2.0
    91: 00108ce0   252 FUNC    WEAK   DEFAULT   12 res_init@GLIBC_2.0
    92: 0003b7d0    83 FUNC    GLOBAL DEFAULT   12 l64a@@GLIBC_2.0
    93: 001249d0   128 FUNC    GLOBAL DEFAULT   12 _IO_file_attach@GLIBC_2.0
    94: 0006c900   162 FUNC    GLOBAL DEFAULT   12 _IO_file_attach@@GLIBC_2.1
    95: 00080860    53 FUNC    GLOBAL DEFAULT   12 __strstr_g@@GLIBC_2.1.1
    96: 000ae270    42 FUNC    WEAK   DEFAULT   12 wcsftime_l@@GLIBC_2.3
    97: 00062120   399 FUNC    WEAK   DEFAULT   12 gets@@GLIBC_2.0
    98: 00060ba0   269 FUNC    WEAK   DEFAULT   12 fflush@@GLIBC_2.0
    99: 0010d7e0   101 FUNC    GLOBAL DEFAULT   12 _authenticate@@GLIBC_2.1
   100: 000fe360   334 FUNC    GLOBAL DEFAULT   12 getrpcbyname@@GLIBC_2.0
   101: 0006a7a0    49 FUNC    GLOBAL DEFAULT   12 putc_unlocked@@GLIBC_2.0
   102: 000e6850    36 FUNC    GLOBAL DEFAULT   12 hcreate@@GLIBC_2.0
   103: 00077050    82 IFUNC   GLOBAL DEFAULT   12 strcpy@@GLIBC_2.0
   104: 0003b780    65 FUNC    GLOBAL DEFAULT   12 a64l@@GLIBC_2.0
   105: 00117a20    74 FUNC    GLOBAL DEFAULT   12 xdr_long@@GLIBC_2.0
   106: 0002c3d0   180 FUNC    WEAK   DEFAULT   12 sigsuspend@@GLIBC_2.0
   107: 000184b0     2 FUNC    GLOBAL DEFAULT   12 __libc_init_first@@GLIBC_2.0
   108: 000ec4d0   110 FUNC    GLOBAL DEFAULT   12 shmget@@GLIBC_2.0
   109: 000671f0   418 FUNC    GLOBAL DEFAULT   12 _IO_wdo_write@@GLIBC_2.2
   110: 0005ebc0    38 FUNC    GLOBAL DEFAULT   12 getw@@GLIBC_2.0
   111: 000e2670   363 FUNC    GLOBAL DEFAULT   12 gethostid@@GLIBC_2.0
   112: 0002f0b0    42 FUNC    GLOBAL DEFAULT   12 __cxa_at_quick_exit@@GLIBC_2.10
